"","Town","Date","Day_Difference","Confirmed_Difference","Current","Total_Confirmed","Total_Probable","Total_Probable_Confirmed","New_Probable_Confirmed","Removed_Probable_Confirmed","New_Prob_Conf_per_day_per_100k","New_Conf_per_day_per_100k","Current_per_100k","avg7dayPer100k"
"1","Natick",2020-09-14,4,2,7,470,NA,NA,NA,NA,NA,1.3869625520111,19.4174757281553,3.23624595469256
"2","Natick",2020-09-10,2,5,6,468,NA,NA,NA,NA,NA,6.93481276005548,16.6435506241331,3.1702001188825
"3","Natick",2020-09-08,5,3,1,463,NA,NA,NA,NA,NA,1.66435506241331,2.77392510402219,1.04022191400832
"4","Natick",2020-09-03,3,0,3,460,NA,NA,NA,NA,NA,0,8.32177531206657,2.37765008916188
"5","Natick",2020-08-31,4,6,7,460,NA,NA,NA,NA,NA,4.16088765603329,19.4174757281553,2.77392510402219
"6","Natick",2020-08-27,3,1,4,454,NA,NA,NA,NA,NA,0.924641701340731,11.0957004160888,1.58510005944125
"7","Natick",2020-08-24,4,3,3,453,237,690,11,NA,7.62829403606103,2.08044382801664,8.32177531206657,1.18882504458094
"8","Natick",2020-08-20,3,0,7,450,226,676,10,NA,9.2464170134073,0,19.4174757281553,1.98137507430157
"9","Natick",2020-08-17,4,5,9,450,216,666,15,NA,10.4022191400832,3.46740638002774,24.9653259361997,2.37765008916188
"10","Natick",2020-08-13,3,1,4,445,206,651,9,NA,8.32177531206657,0.924641701340731,11.0957004160888,1.18882504458094
"11","Natick",2020-08-10,4,2,3,444,198,642,36,NA,24.9653259361997,1.3869625520111,8.32177531206657,1.18882504458094
"12","Natick",2020-08-06,3,1,3,442,164,606,15,NA,13.869625520111,0.924641701340731,8.32177531206657,0.792550029720626
"13","Natick",2020-08-03,4,1,6,441,150,591,18,NA,12.4826629680999,0.693481276005548,16.6435506241331,2.77392510402219
"14","Natick",2020-07-30,3,6,8,440,133,573,23,NA,21.2667591308368,5.54785020804438,22.1914008321775,3.1702001188825
"15","Natick",2020-07-27,4,2,5,434,116,550,17,NA,11.7891816920943,1.3869625520111,13.869625520111,2.77392510402219
"16","Natick",2020-07-23,3,5,10,432,101,533,14,NA,12.9449838187702,4.62320850670365,27.7392510402219,4.35902516346344
"17","Natick",2020-07-20,4,6,6,427,92,519,23,NA,15.9500693481276,4.16088765603329,16.6435506241331,2.77392510402219
"18","Natick",2020-07-16,3,1,4,421,75,496,6,NA,5.54785020804438,0.924641701340731,11.0957004160888,0.792550029720626
"19","Natick",2020-07-13,4,1,3,420,70,490,8,NA,5.54785020804438,0.693481276005548,8.32177531206657,0.554785020804438
"20","Natick",2020-07-09,1,0,2,419,63,482,2,NA,5.54785020804438,0,5.54785020804438,0
"21","Natick",2020-07-08,1,0,3,419,61,480,9,477,24.9653259361997,0,8.32177531206657,0
"22","Natick",2020-07-07,1,0,4,419,52,471,5,467,13.869625520111,0,11.0957004160888,1.3869625520111
"23","Natick",2020-07-06,1,1,3,419,47,466,2,463,5.54785020804438,2.77392510402219,8.32177531206657,0.924641701340731
"24","Natick",2020-07-05,2,0,2,418,46,464,0,463,0,0,5.54785020804438,-0.924641701340731
"25","Natick",2020-07-03,1,-1,2,418,46,464,0,463,0,-2.77392510402219,5.54785020804438,NA
"26","Natick",2020-07-02,1,NA,2,419,46,465,2,463,5.54785020804438,NA,5.54785020804438,NA
"27","Natick",2020-07-01,1,NA,NA,NA,NA,463,3,462,8.32177531206657,NA,NA,NA
